lawer,lawer_tp
Кайбицкий областной суд города Санкт-петербурга И ЛО,Кайбицким областным судом города Санкт-петербурга И ЛО
Колпинский апелляционный суд ханты-мансийского автономного округа - югры,Колпинским апелляционным судом ханты-мансийского автономного округа - югры
Самарский город. суд г. Воронежа,Самарским городским судом г. Воронежа
Калганский военный суд г. Омска,Калганским военным судом г. Омска
Высокогорский районный суд г. Новокузнецка,Высокогорским районным судом г. Новокузнецка
Богучарский военный суд РМЭ,Богучарским военным судом РМЭ
Сосновский апелляционный суд г. Екатеринбурга,Сосновским апелляционным судом г. Екатеринбурга
Заинский р-ый суд города Волгоград,Заинским р-ым судом города Волгоград
Зимовниковский городской суд города Саратова,Зимовниковским городским судом города Саратова
Николаевский-на-амуре город. суд камчатского края,Николаевский-на-амуром городским судом камчатского края
Абзелиловский военный суд республика Калмыкия,Абзелиловским военным судом республика Калмыкия
Краснотурьинский город суд г. Иркутска,Краснотурьинским городским судом г. Иркутска
Дзун-хемчикский м-ый суд Брянской области,Дзун-хемчикским м-ым судом Брянской области
Котовский город суд Санкт-петербурга,Котовским городским судом Санкт-петербурга
Кромской город. суд республики Адыгеи,Кромским городским судом республики Адыгеи
Духовщинский военный суд г. лесного,Духовщинским военным судом г. лесного
Тбилисский город суд Тюменской области,Тбилисским городским судом Тюменской области
Верхотурский военный суд Калининградской области,Верхотурским военным судом Калининградской области
Ивантеевский апелляционный суд города Москвы,Ивантеевским апелляционным судом города Москвы
Борский апелляционный суд г. нижний новгород,Борским апелляционным судом г. нижний новгород
Зеленчукский м-ый суд г. Владивостока,Зеленчукским м-ым судом г. Владивостока
Веневский апелляционный суд респ.бурятия,Веневским апелляционным судом респ.бурятия
Мегино-кангаласский межрайонный суд Архангельской области,Мегино-кангаласским межрайонным судом Архангельской области
Коряжемский м-ый суд г. Красноярска,Коряжемским м-ым судом г. Красноярска
Удомельский областной суд г. Кемерово,Удомельским областным судом г. Кемерово
Могочинский межрайонный суд Волгоградской области,Могочинским межрайонным судом Волгоградской области
Тере-хольский город суд Вологодской области,Тере-хольским городским судом Вологодской области
Томаринский межрайонный суд Томской области,Томаринским межрайонным судом Томской области
Курчатовский городской суд Тверской области,Курчатовским городским судом Тверской области
Бобровский м-ый суд г. Ульяновска,Бобровским м-ым судом г. Ульяновска
Охотский город. суд Иркутской обл.,Охотским городским судом Иркутской обл.
Чердынский м-ый суд г. нижний тагил,Чердынским м-ым судом г. нижний тагил
Старицкий военный суд респ.татарстан,Старицким военным судом респ.татарстан
Корсаковский городской суд г. Томска,Корсаковским городским судом г. Томска
Панинский кассационный суд республики Дагестан,Панинским кассационным судом республики Дагестан
Северский м-ый суд Ивановской области,Северским м-ым судом Ивановской области
Невельский м-ый суд респ.мордовия,Невельским м-ым судом респ.мордовия
Вадинский военный суд Свердловской области,Вадинским военным судом Свердловской области
Медногорский город. суд г. Самары,Медногорским городским судом г. Самары
Великолукский апелляционный суд Ульяновской области,Великолукским апелляционным судом Ульяновской области
Магаданский город суд Удмуртской республики,Магаданским городским судом Удмуртской республики
Арзгирский город. суд г. Ульяновска,Арзгирским городским судом г. Ульяновска
Тракторозаводский апелляционный суд г. дагестанские огни,Тракторозаводским апелляционным судом г. дагестанские огни
Липецкий р-ый суд г. Екатеринбурга,Липецким р-ым судом г. Екатеринбурга
Харабалинский городской суд г. Волгограда,Харабалинским городским судом г. Волгограда
Малмыжский военный суд западно-сибирского округа,Малмыжским военным судом западно-сибирского округа
Крутихинский межрайонный суд республики Тыва,Крутихинским межрайонным судом республики Тыва
Медведевский межрайонный суд республики Дагестана,Медведевским межрайонным судом республики Дагестана
Ольхонский апелляционный суд Псковской области,Ольхонским апелляционным судом Псковской области
Облученский областной суд г. Абакан,Облученским областным судом г. Абакан
Красноярский межрайонный суд Волгоградской области,Красноярским межрайонным судом Волгоградской области
Валдайский военный суд г. Орска,Валдайским военным судом г. Орска
Бейский кассационный суд Амурской области,Бейским кассационным судом Амурской области
Навлинский кассационный суд Ярославской области,Навлинским кассационным судом Ярославской области
Холмский военный суд республики Карелия,Холмским военным судом республики Карелия
Первоуральский военный суд республика Калмыкия,Первоуральским военным судом республика Калмыкия
Завьяловский р-ый суд Нижегородской области,Завьяловским р-ым судом Нижегородской области
Ельнинский апелляционный суд чукотского автономного округа,Ельнинским апелляционным судом чукотского автономного округа
Динской город. суд Нижегородская обл.,Динским городским судом Нижегородская обл.
Петроградский районный суд г. нижний новгород,Петроградским районным судом г. нижний новгород
Пушкинский городской суд г. Хабаровска,Пушкинским городским судом г. Хабаровска
Кемский городской суд г. Ярославля,Кемским городским судом г. Ярославля
Русско-полянский город суд Еврейской автономной области,Русско-полянским городским судом Еврейской автономной области
Бузулукский областной суд респ.бурятия,Бузулукским областным судом респ.бурятия
Юрьянский областной суд г. СПБ,Юрьянским областным судом г. СПБ
Анапский областной суд города Севастополь,Анапским областным судом города Севастополь
Солнечногорский м-ый суд г. Кирова,Солнечногорским м-ым судом г. Кирова
Черемховский военный суд респ.мордовия,Черемховским военным судом респ.мордовия
Моргаушский кассационный суд г. Иркутска,Моргаушским кассационным судом г. Иркутска
Мокшанский городской суд г. Владивостока,Мокшанским городским судом г. Владивостока
Дубненский военный суд Брянской области,Дубненским военным судом Брянской области
Лесосибирский р-ый суд республики Северная осетия-алания,Лесосибирским р-ым судом республики Северная осетия-алания
Тутаевский военный суд г. Новороссийска,Тутаевским военным судом г. Новороссийска
Читинский апелляционный суд г. Комсомольска-на-амуре,Читинским апелляционным судом г. Комсомольска-на-амуре
Степновский город суд г. Санкт-петербурга И ЛО,Степновским городским судом г. Санкт-петербурга И ЛО
Брюховецкий военный суд Ульяновской области,Брюховецким военным судом Ульяновской области
Семеновский апелляционный суд г. Кирова,Семёновским апелляционным судом г. Кирова
Енотаевский областной суд республики Адыгеи,Енотаевским областным судом республики Адыгеи
Белебеевский межрайонный суд алтайского края,Белебеевским межрайонным судом алтайского края
Буденновский город суд Новосибирской обл.,Буденновским городским судом Новосибирской обл.
Уфимский городской суд ханты-мансийского автономного округа - югры,Уфимским городским судом ханты-мансийского автономного округа - югры
Приморско-ахтарский м-ый суд Калужской области,Приморско-ахтарским м-ым судом Калужской области
Чукотский кассационный суд республики Коми,Чукотским кассационным судом республики Коми
Нелидовский апелляционный суд г. Перми,Нелидовским апелляционным судом г. Перми
Урванский м-ый суд г. Рязани,Урванским м-ым судом г. Рязани
Овюрский м-ый суд г. Ульяновска,Овюрским м-ым судом г. Ульяновска
Северный кассационный суд Ленинградской области,Северным кассационным судом Ленинградской области
Хатангский военный суд нижегородский обл.,Хатангским военным судом нижегородский обл.
Санкт-петербургский р-ый суд республики Саха (якутия),Санкт-петербургским р-ым судом республики Саха (якутия)
Володарский городской суд республики Калмыкия,Володарским городским судом республики Калмыкия
Ковернинский город. суд Калужской области,Ковернинским городским судом Калужской области
Янаульский апелляционный суд республики Мордовия,Янаульским апелляционным судом республики Мордовия
Урупский районный суд г. Рязани,Урупским районным судом г. Рязани
Златоустовский межрайонный суд г. Ростова-на-дону,Златоустовским межрайонным судом г. Ростова-на-дону
Кизеловский город суд Кабардино-балкарской республики,Кизеловским городским судом Кабардино-балкарской республики
Молчановский межрайонный суд г. Сыктывкара,Молчановским межрайонным судом г. Сыктывкара
Тарский кассационный суд краснодарского края,Тарским кассационным судом краснодарского края
Трехгорный районный суд г. Симферополя,Трехгорным районным судом г. Симферополя
Санчурский военный суд г. Прокопьевска,Санчурским военным судом г. Прокопьевска
Яковлевский городской суд республика Калмыкия,Яковлевским городским судом республика Калмыкия
Евпаторийский военный суд г. Владивостока,Евпаторийским военным судом г. Владивостока
Сарапульский межрайонный суд г. Курска,Сарапульским межрайонным судом г. Курска
Сызранский областной суд нижегородский обл.,Сызранским областным судом нижегородский обл.
Калачевский военный суд Белгородской обл.,Калачевским военным судом Белгородской обл.
Железнодорожный апелляционный суд западно-сибирского округа,Железнодорожным апелляционным судом западно-сибирского округа
Шекснинский город суд г. Костромы,Шекснинским городским судом г. Костромы
Пожарский военный суд ХБ,Пожарским военным судом ХБ
Старополтавский город. суд Сахалинской области,Старополтавским городским судом Сахалинской области
Александровск-сахалинский районный суд Чеченской республики,Александровск-сахалинским районным судом Чеченской республики
Шебалинский городской суд Волгоградской обл.,Шебалинским городским судом Волгоградской обл.
Гунибский кассационный суд Брянской области,Гунибским кассационным судом Брянской области
Онежский кассационный суд г. Воронежа,Онежским кассационным судом г. Воронежа
Москаленский город. суд Нижегородская обл.,Москаленским городским судом Нижегородская обл.
Лазаревский областной суд г. Севастополя,Лазаревским областным судом г. Севастополя
Савеловский апелляционный суд г. Каменск-уральского,Савёловским апелляционным судом г. Каменск-уральского
Белевский р-ый суд Ростовской обл.,Белёвским р-ым судом Ростовской обл.
Ульяновский районный суд республики Бурятия,Ульяновским районным судом республики Бурятия
Бельский городской суд Магаданской области,Бельским городским судом Магаданской области
Кыштымский кассационный суд г. Братска,Кыштымским кассационным судом г. Братска
Брейтовский апелляционный суд г. Челябинска,Брейтовским апелляционным судом г. Челябинска
Чусовской город. суд г. Новокузнецка,Чусовским городским судом г. Новокузнецка
Тигильский р-ый суд г. Волгоград,Тигильским р-ым судом г. Волгоград
Балаклавский м-ый суд города Абакан,Балаклавским м-ым судом города Абакан
Ливенский город. суд г. Магнитогорска,Ливенским городским судом г. Магнитогорска
Кизнерский апелляционный суд Саратовской области,Кизнерским апелляционным судом Саратовской области
Углегорский город суд чукотского автономного округа,Углегорским городским судом чукотского автономного округа
Аткарский районный суд г. Орла,Аткарским районным судом г. Орла
Набережночелнинский апелляционный суд г. Калининграда,Набережночелнинским апелляционным судом г. Калининграда
Грибановский м-ый суд города Комсомольска-на-амуре хабаровского края,Грибановским м-ым судом города Комсомольска-на-амуре хабаровского края
Салаватский город суд г. Новосибирска,Салаватским городским судом г. Новосибирска
Алтайский городской суд города нижний тагил Свердловской области,Алтайским городским судом города нижний тагил Свердловской области
Ступинский м-ый суд Волгоградской обл.,Ступинским м-ым судом Волгоградской обл.
Камышловский областной суд г. Владимира,Камышловским областным судом г. Владимира
Салехардский м-ый суд респ. Татарстан,Салехардским м-ым судом респ. Татарстан
Зенковский межрайонный суд г. Курска,Зенковским межрайонным судом г. Курска
Канавинский м-ый суд алтайского края,Канавинским м-ым судом алтайского края
Нерехтский городской суд города Екатеринбурга Свердловской области,Нерехтским городским судом города Екатеринбурга Свердловской области
Верховажский городской суд г. Каменск-уральского,Верховажским городским судом г. Каменск-уральского
Чернышевский город. суд республики Алтай,Чернышевским городским судом республики Алтай
Бирилюсский город. суд г. УФЫ,Бирилюсским городским судом г. УФЫ
Родинский городской суд г. Кирова,Родинским городским судом г. Кирова
Избербашский м-ый суд города Севастополя,Избербашским м-ым судом города Севастополя
Крапивинский р-ый суд г. Симферополя,Крапивинским р-ым судом г. Симферополя
Пригородный р-ый суд АК,Пригородным р-ым судом АК
Староюрьевский военный суд республики Калмыкия,Староюрьевским военным судом республики Калмыкия
Мглинский м-ый суд поволжского округа,Мглинским м-ым судом поволжского округа
Пичаевский районный суд г. Иваново,Пичаевским районным судом г. Иваново
Мартыновский город суд Липецкой области,Мартыновским городским судом Липецкой области
Манский областной суд Тамбовской области,Манским областным судом Тамбовской области
Горно-алтайский межрайонный суд Чеченской республики,Горно-алтайским межрайонным судом Чеченской республики
Балашовский м-ый суд г. Мурманска,Балашовским м-ым судом г. Мурманска
Башмаковский областной суд Рязанской области,Башмаковским областным судом Рязанской области
Южно-сахалинский м-ый суд г. Липецка,Южно-сахалинским м-ым судом г. Липецка
Дальнегорский военный суд г. Казани,Дальнегорским военным судом г. Казани
Няндомский р-ый суд города Екатеринбурга Свердловской области,Няндомским р-ым судом города Екатеринбурга Свердловской области
Хабезский м-ый суд республика Калмыкия,Хабезским м-ым судом республика Калмыкия
Засвияжский городской суд республики Мордовия,Засвияжским городским судом республики Мордовия
Новосергиевский р-ый суд Псковской области,Новосергиевским р-ым судом Псковской области
Усть-катавский р-ый суд Калужской области,Устью-катавским р-ым судом Калужской области
Охинский городской суд г. Балахна,Охинским городским судом г. Балахна
Нижневартовский кассационный суд Оренбургской области,Нижневартовским кассационным судом Оренбургской области
Тюменский м-ый суд Мурманской области,Тюменским м-ым судом Мурманской области
Тальменский межрайонный суд г. Читы,Тальменским межрайонным судом г. Читы
Шелеховский районный суд г. Ярославля,Шелеховским районным судом г. Ярославля
Давлекановский районный суд республики Башкортостан,Давлекановским районным судом республики Башкортостан
Баунтовский р-ый суд Пензенская ОБ.,Баунтовским р-ым судом Пензенская ОБ.
Иловлинский город суд Кемеровской области,Иловлинским городским судом Кемеровской области
Кайтагский городской суд Ленинградской области,Кайтагским городским судом Ленинградской области
Алейский м-ый суд города Санкт-петербург И Ленинградской области,Алейским м-ым судом города Санкт-петербург И Ленинградской области
Звенигородский р-ый суд г. нижний новгород,Звенигородским р-ым судом г. нижний новгород
Асбестовский город. суд города Москвы,Асбестовским городским судом города Москвы
Балахнинский областной суд г. Балахна,Балахнинским областным судом г. Балахна
Сорочинский апелляционный суд республики Татарстан,Сорочинским апелляционным судом республики Татарстан
Тевризский апелляционный суд г. СПБ,Тевризским апелляционным судом г. СПБ
Анучинский кассационный суд Кабардино-балкарской республики,Анучинским кассационным судом Кабардино-балкарской республики
Верхнекетский межрайонный суд города Севастополя,Верхнекетским межрайонным судом города Севастополя
Ярковский областной суд чувашской республики,Ярковским областным судом чувашской республики
Каргасокский город суд республики Коми,Каргасокским городским судом республики Коми
Старожиловский военный суд г. нижний новгород,Старожиловским военным судом г. нижний новгород
Вологодский р-ый суд г. Махачкалы,Вологодским р-ым судом г. Махачкалы
Ясногорский кассационный суд г Санкт-петербурга,Ясногорским кассационным судом г Санкт-петербурга
Сорокинский кассационный суд г. Пензы,Сорокинским кассационным судом г. Пензы
Вашкинский город суд города Тольятти Самарской области,Вашкинским городским судом города Тольятти Самарской области
Боградский районный суд Ростовской обл.,Боградским районным судом Ростовской обл.
Починковский р-ый суд города Комсомольска-на-амуре хабаровского края,Починковским р-ым судом города Комсомольска-на-амуре хабаровского края
Рыбно-слободский апелляционный суд г. Рязани,Рыбно-слободским апелляционным судом г. Рязани
Гиагинский городской суд московского округа,Гиагинским городским судом московского округа
Черновский областной суд Калужской области,Черновским областным судом Калужской области
Минераловодский межрайонный суд г. Оренбурга,Минераловодским межрайонным судом г. Оренбурга
Ольховский апелляционный суд Белгородской обл.,Ольховским апелляционным судом Белгородской обл.
Березовский город. суд г. Екатеринбурга Свердловской области,Березовским городским судом г. Екатеринбурга Свердловской области
Чарышский апелляционный суд Севастополя,Чарышским апелляционным судом Севастополя
Данковский апелляционный суд Волгоградской обл.,Данковским апелляционным судом Волгоградской обл.
Солонешенский р-ый суд г. Улан-удэ,Солонешенским р-ым судом г. Улан-удэ
Хасанский областной суд Иркутской области,Хасанским областным судом Иркутской области
Красноборский город суд г. Брянска,Красноборским городским судом г. Брянска
Катайский военный суд Орловской области,Катайским военным судом Орловской области
Белгородский м-ый суд западно-сибирского округа,Белгородским м-ым судом западно-сибирского округа
Краснобаковский город. суд Санкт-петербурга,Краснобаковским городским судом Санкт-петербурга
Урайский город суд г. Самары,Урайским городским судом г. Самары
Сеченовский городской суд республики Алтай,Сеченовским городским судом республики Алтай
Авиастроительный р-ый суд красноярского края,Авиастроительным р-ым судом красноярского края
Нефтекамский кассационный суд города Санкт-петербурга И ЛО,Нефтекамским кассационным судом города Санкт-петербурга И ЛО
Хабарский город. суд г. Пензы,Хабарским городским судом г. Пензы
Городецкий районный суд Тверской области,Городецким районным судом Тверской области
