lawer,lawer_tp
Белоярский военный суд г. Симферополя,Белоярским военным судом г. Симферополя
Ингодинский межрайонный суд города Тольятти Самарской области,Ингодинским межрайонным судом города Тольятти Самарской области
Альменевский межрайонный суд республики Северная осетия-алания,Альменевским межрайонным судом республики Северная осетия-алания
Топчихинский военный суд г. Краснодара,Топчихинским военным судом г. Краснодара
МССУ №229 Псковской области,МССУ №229 Псковской области
ФУ г. Новокузнецка,ФУ г. Новокузнецка
МС Псковской области,МС Псковской области
Усть-джегутинский город суд Пензенская ОБ.,Усть-джегутинским городским судом Пензенская ОБ.
Беляевский военный суд г. Прокопьевска,Беляевским военным судом г. Прокопьевска
ФУ города Саратова,ФУ города Саратова
Падунский районный суд Ростовской области,Падунским районным судом Ростовской области
ФС города н.новгорода,ФС города н.новгорода
АС города нижний тагил Свердловской области,АС города нижний тагил Свердловской области
Баунтовский межрайонный суд г. Сочи,Баунтовским межрайонным судом г. Сочи
Никулинский районный суд г. Иркутска,Никулинским районным судом г. Иркутска
Арбитражный суд алтайского края,Арбитражным судом алтайского края
Качугский р-ый суд города Екатеринбурга Свердловской области,Качугским р-ым судом города Екатеринбурга Свердловской области
Ульчский город суд Свердловская область,Ульчским городским судом Свердловская область
МС г. Кемерово,МС г. Кемерово
Шатурский м-ый суд г. Белгорода,Шатурским м-ым судом г. Белгорода
Арбитражный суд Тверской области,Арбитражным судом Тверской области
Девятый апелляционный суд Тверской области,Девятым апелляционным судом Тверской области
Федеральный суд города Саратова,Федеральным судом города Саратова
Ф/С Астраханской области,Ф/С Астраханской области
Зареченский межрайонный суд города нижний новгород,Зареченским межрайонным судом города нижний новгород
МС ханты-мансийского автономного округа - югры,МС ханты-мансийского автономного округа - югры
АС ЕАО,АС ЕАО
Балтасинский городской суд западно-сибирского округа,Балтасинским городским судом западно-сибирского округа
Кореневский кассационный суд г. Кемерово,Кореневским кассационным судом г. Кемерово
Магасский м-ый суд города н.новгорода,Магасским м-ым судом города н.новгорода
МС СУ №190 г. Смоленска,МС СУ №190 г. Смоленска
Губкинский город суд г. Перми,Губкинским городским судом г. Перми
Тяжинский городской суд республика Калмыкия,Тяжинским городским судом республика Калмыкия
Биробиджанский р-ый суд города Казань,Биробиджанским р-ым судом города Казань
МС СУ №47 г. Волгоград,МС СУ №47 г. Волгоград
Балашовский апелляционный суд приморского края,Балашовским апелляционным судом приморского края
Ельцовский город. суд г. Саранска,Ельцовским городским судом г. Саранска
МС г. Прокопьевска,МС г. Прокопьевска
Стародубский кассационный суд Воронежской обл.,Стародубским кассационным судом Воронежской обл.
Пресненский м-ый суд города Казань,Пресненским м-ым судом города Казань
АС Костромской области,АС Костромской области
Лобненский районный суд Чеченской республики,Лобненским районным судом Чеченской республики
Октябрьский м-ый суд приморского края,Октябрьским м-ым судом приморского края
Бессоновский военный суд Пензенской области,Бессоновским военным судом Пензенской области
С/У №186 Белгородской обл.,С/У №186 Белгородской обл.
Новотроицкий районный суд г. Владивостока,Новотроицким районным судом г. Владивостока
Котовский военный суд Новгородской области,Котовским военным судом Новгородской области
М/С респ.крым,М/С респ.крым
Кирилловский м-ый суд Волгоградской области,Кирилловским м-ым судом Волгоградской области
МС СУ №51 г. Саранска,МС СУ №51 г. Саранска
Федеральный суд республики Карелия,Федеральным судом республики Карелия
С/У №43 г. Твери,С/У №43 г. Твери
Бондарский районный суд республики Адыгея,Бондарским районным судом республики Адыгея
Пригородный город. суд Курганской области,Пригородным городским судом Курганской области
Ангарский военный суд г. Саранска,Ангарским военным судом г. Саранска
Амурский кассационный суд г. Новосибирска,Амурским кассационным судом г. Новосибирска
МССУ №277 республика Коми,МССУ №277 республика Коми
Ф/У г. Кирова,Ф/У г. Кирова
Кумылженский городской суд московского округа,Кумылженским городским судом московского округа
Судебный участок №64 Новосибирской обл.,Судебным участком №64 Новосибирской обл.
МССУ №243 Липецкой области,МССУ №243 Липецкой области
Федеральный участок г. Пензы,Федеральным участком г. Пензы
МС ставропольский край,МС ставропольский край
Павлово-посадский военный суд чукотского автономного округа,Павлово-посадским военным судом чукотского автономного округа
Читинский апелляционный суд Вологодской области,Читинским апелляционным судом Вологодской области
Мировой суд Иркутской обл.,Мировым судом Иркутской обл.
Балашихинский город. суд г. Владикавказа,Балашихинским городским судом г. Владикавказа
Новозыбковский город. суд г. Каменск-уральского,Новозыбковским городским судом г. Каменск-уральского
Ахтынский областной суд г. Мурманска,Ахтынским областным судом г. Мурманска
МС г. Екатеринбурга,МС г. Екатеринбурга
Ягоднинский город суд Волгоградской обл.,Ягоднинским городским судом Волгоградской обл.
Федеральный участок г. Новороссийска,Федеральным участком г. Новороссийска
Арбитражный суд г. нижний тагил,Арбитражным судом г. нижний тагил
А/С г. Твери,А/С г. Твери
АС Кабардино-балкарской республики,АС Кабардино-балкарской республики
Моршанский город суд КК,Моршанским городским судом КК
Судебный участок №189 г. Комсомольска-на-амуре,Судебным участком №189 г. Комсомольска-на-амуре
ФС республики Калмыкия,ФС республики Калмыкия
Кореновский районный суд г. Рязани,Кореновским районным судом г. Рязани
МССУ №130 республики Бурятия,МССУ №130 республики Бурятия
Старополтавский городской суд респ.бурятия,Старополтавским городским судом респ.бурятия
Тунгокоченский р-ый суд ямало-ненецкого автономного округа,Тунгокоченским р-ым судом ямало-ненецкого автономного округа
Идринский городской суд Вологодской области,Идринским городским судом Вологодской области
Байкаловский город суд г. Самары,Байкаловским городским судом г. Самары
МССУ №125 г. Екатеринбурга Свердловской области,МССУ №125 г. Екатеринбурга Свердловской области
Великолукский военный суд г. Орла,Великолукским военным судом г. Орла
Радищевский р-ый суд г. Владикавказа,Радищевским р-ым судом г. Владикавказа
Никифоровский военный суд российской федерации,Никифоровским военным судом российской федерации
Ф/У г. Казани,Ф/У г. Казани
Судебный участок №87 Пензенской области,Судебным участком №87 Пензенской области
МС г. Владивостока,МС г. Владивостока
Унинский городской суд республики Мордовия,Унинским городским судом республики Мордовия
Намский районный суд респ.бурятия,Намским районным судом респ.бурятия
МС СУ №167 г. Читы,МС СУ №167 г. Читы
АС ХБ,АС ХБ
Предгорный м-ый суд города Санкт-петербурга И Ленинградской области,Предгорным м-ым судом города Санкт-петербурга И Ленинградской области
Видновский город. суд республики Татарстан,Видновским городским судом республики Татарстан
Мировой суд МО,Мировым судом МО
Сарпинский город. суд Пензенская обл.,Сарпинским городским судом Пензенская обл.
МС Карачаево-черкесской республики,МС Карачаево-черкесской республики
Мамадышский р-ый суд МО,Мамадышским р-ым судом МО
Дорогобужский апелляционный суд г. Мурманска,Дорогобужским апелляционным судом г. Мурманска
ФУ поволжского округа,ФУ поволжского округа
Федеральный суд Калужской области,Федеральным судом Калужской области
Зенковский м-ый суд г. Волгоград,Зенковским м-ым судом г. Волгоград
Судебный участок №286 респ.крым,Судебным участком №286 респ.крым
Улетовский кассационный суд г. Белгорода,Улётовским кассационным судом г. Белгорода
Шилкинский военный суд г. Чебоксары,Шилкинским военным судом г. Чебоксары
МС СУ №157 Липецкой области,МС СУ №157 Липецкой области
Сухобузимский районный суд Вологодской области,Сухобузимским районным судом Вологодской области
Судебный участок №138 г. Ульяновска,Судебным участком №138 г. Ульяновска
Серебряно-прудский районный суд города Волгоград,Серебряно-прудским районным судом города Волгоград
АС Курской области,АС Курской области
Федеральный суд г. Новосибирска,Федеральным судом г. Новосибирска
Партизанский город. суд г. Самары,Партизанским городским судом г. Самары
Приютненский р-ый суд Пензенская обл.,Приютненским р-ым судом Пензенская обл.
Сут-хольский районный суд г. Тольятти,Сут-хольским районным судом г. Тольятти
Трубчевский городской суд г. Воронежа,Трубчевским городским судом г. Воронежа
Шарыповский военный суд г. Братска,Шарыповским военным судом г. Братска
Магдагачинский городской суд республики Марий ЭЛ,Магдагачинским городским судом республики Марий ЭЛ
Соломбальский апелляционный суд г. Прокопьевска,Соломбальским апелляционным судом г. Прокопьевска
Ф/У г. СПБ,Ф/У г. СПБ
Мировой суд г. Орла,Мировым судом г. Орла
Прикубанский город. суд РБ,Прикубанским городским судом РБ
Белореченский военный суд российской федерации,Белореченским военным судом российской федерации
Киришский р-ый суд Чеченской республики,Киришским р-ым судом Чеченской республики
Федеральный суд Орловской области,Федеральным судом Орловской области
Арбитражный суд республики Алтай,Арбитражным судом республики Алтай
Ижморский кассационный суд республики Северная осетия-алания,Ижморским кассационным судом республики Северная осетия-алания
ФС г. Севастополя,ФС г. Севастополя
Юрьев-польский город. суд г. Новороссийска,Юрьевым-польским городским судом г. Новороссийска
С/У №213 г. Тулы,С/У №213 г. Тулы
Минераловодский город. суд города Азов,Минераловодским городским судом города Азов
Ачхой-мартановский областной суд города нижний тагил Свердловской области,Ачхой-мартановским областным судом города нижний тагил Свердловской области
Ф/С ставропольский край,Ф/С ставропольский край
Федеральный суд общей юрисдикции,Федеральным судом общей юрисдикции
Судебный участок №205 респ. Башкортостан,Судебным участком №205 респ. Башкортостан
Новоалтайский межрайонный суд г. Новокузнецка,Новоалтайским межрайонным судом г. Новокузнецка
Василеостровский районный суд республики Татарстан,Василеостровским районным судом республики Татарстан
Яшкинский городской суд республики Крым,Яшкинским городским судом республики Крым
Арбитражный суд забайкальского края,Арбитражным судом забайкальского края
МС СУ №116 Ярославской области,МС СУ №116 Ярославской области
ФУ республики Карелия,ФУ республики Карелия
А/С г. Анапа,А/С г. Анапа
Тбилисский город. суд пермского края,Тбилисским городским судом пермского края
Мухоршибирский м-ый суд города Казани,Мухоршибирским м-ым судом города Казани
Тагилстроевский город суд республики Северная осетия-алания,Тагилстроевским городским судом республики Северная осетия-алания
Колосовский м-ый суд г. Оренбурга,Колосовским м-ым судом г. Оренбурга
СУ №267 респ. Башкортостан,СУ №267 респ. Башкортостан
МССУ №14 г. Кирова,МССУ №14 г. Кирова
Тогульский город суд республика Коми,Тогульским городским судом республика Коми
Мурашинский областной суд республики Бурятия,Мурашинским областным судом республики Бурятия
Ахтубинский город суд республики Башкортостан,Ахтубинским городским судом республики Башкортостан
Кунцевский город. суд г. Владивостока,Кунцевским городским судом г. Владивостока
Новоуральский город. суд Челябинской области,Новоуральским городским судом Челябинской области
Лужский районный суд г. Воронежа,Лужским районным судом г. Воронежа
Кайбицкий город суд г. Тулы,Кайбицким городским судом г. Тулы
Федеральный участок чувашской республики,Федеральным участком чувашской республики
С/У №132 г. Иркутска,С/У №132 г. Иркутска
Таловский городской суд Нижегородская обл.,Таловским городским судом Нижегородская обл.
Нытвенский межрайонный суд города Санкт-петербурга И ЛО,Нытвенским межрайонным судом города Санкт-петербурга И ЛО
Судебный участок №235 г. Смоленска,Судебным участком №235 г. Смоленска
Сорский город. суд республики Северная осетия-алания,Сорским городским судом республики Северная осетия-алания
Ф/У ХБ,Ф/У ХБ
Димитровский город суд Саратовской области,Димитровским городским судом Саратовской области
Дюртюлинский межрайонный суд Волгоградской обл.,Дюртюлинским межрайонным судом Волгоградской обл.
Балтачевский р-ый суд г. Саранска,Балтачевским р-ым судом г. Саранска
Иссинский военный суд г. СПБ,Иссинским военным судом г. СПБ
Тарумовский областной суд поволжского округа,Тарумовским областным судом поволжского округа
Ф/У немецкого национального района,Ф/У немецкого национального района
М/С Псковской области,М/С Псковской области
Чусовской город. суд московского округа,Чусовским городским судом московского округа
АС рсо-алания,АС рсо-алания
Судебный участок №210 Амурской области,Судебным участком №210 Амурской области
ФС города Сочи,ФС города Сочи
Судебный участок №73 г. Ижевска,Судебным участком №73 г. Ижевска
Сестрорецкий м-ый суд г. Благовещенск,Сестрорецким м-ым судом г. Благовещенск
ФУ республики Башкортостан,ФУ республики Башкортостан
Ф/С Кемеровской области,Ф/С Кемеровской области
Темниковский военный суд Московской области,Темниковским военным судом Московской области
Адыге-хабльский районный суд г. Иваново,Адыге-хабльским районным судом г. Иваново
Енотаевский городской суд г. Белгорода,Енотаевским городским судом г. Белгорода
Фроловский м-ый суд Ростовской области,Фроловским м-ым судом Ростовской области
Арбитражный суд г. Барнаула,Арбитражным судом г. Барнаула
Балаганский р-ый суд УР,Балаганским р-ым судом УР
С/У №45 г. нижний тагил,С/У №45 г. нижний тагил
Коченевский городской суд Вологодской области,Коченевским городским судом Вологодской области
Поныровский город суд Пензенской области,Поныровским городским судом Пензенской области
МССУ №21 города нижний новгород,МССУ №21 города нижний новгород
Кировский военный суд г. Саранска,Кировским военным судом г. Саранска
ФУ города Комсомольска-на-амуре хабаровского края,ФУ города Комсомольска-на-амуре хабаровского края
МССУ №188 г. Хабаровска,МССУ №188 г. Хабаровска
Лебедянский город. суд города Санкт-петербурга И ЛО,Лебедянским городским судом города Санкт-петербурга И ЛО
МС СУ №131 Иркутской обл.,МС СУ №131 Иркутской обл.
ФС республика Калмыкия,ФС республика Калмыкия
А/С Иркутской обл.,А/С Иркутской обл.
Пий-хемский город суд МО,Пий-хемским городским судом МО
Федеральный участок КК,Федеральным участком КК
Федеральный участок г. Ярославля,Федеральным участком г. Ярославля
Дальнереченский районный суд респ.бурятия,Дальнереченским районным судом респ.бурятия
Тарский город. суд г. Симферополя,Тарским городским судом г. Симферополя
Озерский кассационный суд г. Читы,Озёрским кассационным судом г. Читы
Ф/У Ярославской области,Ф/У Ярославской области
Ф/У Еврейской автономной области,Ф/У Еврейской автономной области
Тахтамукайский м-ый суд г. Сыктывкара,Тахтамукайским м-ым судом г. Сыктывкара
Ф/С республики Коми,Ф/С республики Коми
АС Ростовской обл.,АС Ростовской обл.
АС г. Братска,АС г. Братска
Гайнский городской суд г. Санкт-петербурга И ЛО,Гайнским городским судом г. Санкт-петербурга И ЛО
Федеральный участок Тверской области,Федеральным участком Тверской области
А/С респ. Татарстан,А/С респ. Татарстан
Яйский м-ый суд г. Симферополя,Яйским м-ым судом г. Симферополя
М/С республики Башкортостан,М/С республики Башкортостан
Нововаршавский кассационный суд Ивановской области,Нововаршавским кассационным судом Ивановской области
АС г. Волгограда,АС г. Волгограда
МССУ №203 республики Калмыкия,МССУ №203 республики Калмыкия
Шигонский город суд Новосибирской обл.,Шигонским городским судом Новосибирской обл.
Стругокрасненский областной суд г. Архангельска,Стругокрасненским областным судом г. Архангельска
Мировой суд Курской области,Мировым судом Курской области
Сюмсинский м-ый суд г. Комсомольска-на-амуре,Сюмсинским м-ым судом г. Комсомольска-на-амуре
Гиагинский кассационный суд Санкт-петербурга,Гиагинским кассационным судом Санкт-петербурга
Севский м-ый суд г. дагестанские огни,Севским м-ым судом г. дагестанские огни
Романовский межрайонный суд Ярославской области,Романовским межрайонным судом Ярославской области
Якшур-бодьинский кассационный суд Орловской области,Якшур-бодьинским кассационным судом Орловской области
М/С г. нижний новгород,М/С г. нижний новгород
АС РО,АС РО
Чердаклинский областной суд Рязанской области,Чердаклинским областным судом Рязанской области
Ф/С г. Ульяновска,Ф/С г. Ульяновска
СУ №279 Сахалинской области,СУ №279 Сахалинской области
Мясниковский город. суд Самарской области,Мясниковским городским судом Самарской области
ФС алтайского края,ФС алтайского края
С/У №164 города Волгоград,С/У №164 города Волгоград
Судебный участок №114 Орловской области,Судебным участком №114 Орловской области
Колышлейский межрайонный суд Тамбовской области,Колышлейским межрайонным судом Тамбовской области
Учалинский р-ый суд Калужской области,Учалинским р-ым судом Калужской области
Судебный участок №134 г. Омска,Судебным участком №134 г. Омска
Урус-мартановский районный суд Тюменской области,Урусом-мартановским районным судом Тюменской области
Судебный участок №227 Нижегородской обл.,Судебным участком №227 Нижегородской обл.
М/С г. Барнаула,М/С г. Барнаула
ФУ Калининградской области,ФУ Калининградской области
Таврический межрайонный суд города Комсомольска-на-амуре хабаровского края,Таврическим межрайонным судом города Комсомольска-на-амуре хабаровского края
МССУ №19 города Комсомольска-на-амуре хабаровского края,МССУ №19 города Комсомольска-на-амуре хабаровского края
Копейский город суд республики Мордовия,Копейским городским судом республики Мордовия
Петропавловск-камчатский кассационный суд республики Тыва,Петропавловском-камчатским кассационным судом республики Тыва
МС Новосибирской области,МС Новосибирской области
ФС ставропольского края,ФС ставропольского края
Ф/С Кировской области,Ф/С Кировской области
МССУ №96 РМЭ,МССУ №96 РМЭ
Нижнедевицкий апелляционный суд Амурской области,Нижнедевицким апелляционным судом Амурской области
МС г. Улан-удэ,МС г. Улан-удэ
Мотовилихинский м-ый суд города Тольятти Самарской обл.,Мотовилихинским м-ым судом города Тольятти Самарской обл.
Заводоуковский областной суд Ивановской области,Заводоуковским областным судом Ивановской области
Кукморский межрайонный суд республики Дагестана,Кукморским межрайонным судом республики Дагестана
Шумихинский городской суд ставропольский край,Шумихинским городским судом ставропольский край
Мировой суд г. Балахна,Мировым судом г. Балахна
МС г. Грозного,МС г. Грозного
Каа-хемский городской суд г. Орла,Каа-хемским городским судом г. Орла
Яковлевский кассационный суд Белгородской обл.,Яковлевским кассационным судом Белгородской обл.
Абдулинский межрайонный суд Карачаево-черкесской республики,Абдулинским межрайонным судом Карачаево-черкесской республики
Шацкий городской суд Калининградской области,Шацким городским судом Калининградской области
Шебекинский кассационный суд г. Тюмени,Шебекинским кассационным судом г. Тюмени
Кингисеппский р-ый суд республики Адыгея,Кингисеппским р-ым судом республики Адыгея
МС г. Иркутска,МС г. Иркутска
Темрюкский городской суд г. Чебоксары,Темрюкским городским судом г. Чебоксары
ФС Тверской области,ФС Тверской области
Сасовский р-ый суд г. Костромы,Сасовским р-ым судом г. Костромы
Мировой суд Ивановской области,Мировым судом Ивановской области
Александрово-заводский областной суд пермского края,Александрово-заводским областным судом пермского края
Назрановский город суд Костромской области,Назрановским городским судом Костромской области
АС г. Сочи,АС г. Сочи
МССУ №93 Свердловская область,МССУ №93 Свердловская область
М/С г. Новокузнецка,М/С г. Новокузнецка
Шатровский областной суд г. Москвы,Шатровским областным судом г. Москвы
Глазовский районный суд Иркутской обл.,Глазовским районным судом Иркутской обл.
Федеральный суд Тульской области,Федеральным судом Тульской области
Новосильский областной суд г. Магнитогорска,Новосильским областным судом г. Магнитогорска
С/У №55 республики Мордовия,С/У №55 республики Мордовия
Зырянский апелляционный суд Пензенская ОБ.,Зырянским апелляционным судом Пензенская ОБ.
Обоянский р-ый суд республики Адыгея,Обоянским р-ым судом республики Адыгея
Ф/У красноярского КР.,Ф/У красноярского КР.
М/С Мурманской области,М/С Мурманской области
М/С Ростовской обл.,М/С Ростовской обл.
Тамбовский областной суд г. СПБ И ЛО,Тамбовским областным судом г. СПБ И ЛО
Пристенский областной суд города Санкт-петербурга И Ленинградской области,Пристенским областным судом города Санкт-петербурга И Ленинградской области
Тунгусско-чунский военный суд г. Севастополя,Тунгусско-чунским военным судом г. Севастополя
Федеральный участок города Санкт-петербурга И ЛО,Федеральным участком города Санкт-петербурга И ЛО
А/С города нижний новгород,А/С города нижний новгород
Арский город суд г. Прокопьевска,Арским городским судом г. Прокопьевска
МС СУ №91 г. Москвы,МС СУ №91 г. Москвы
Судебный участок №245 республики Адыгеи,Судебным участком №245 республики Адыгеи
А/С Свердловской области,А/С Свердловской области
Ревдинский межрайонный суд Вологодской области,Ревдинским межрайонным судом Вологодской области
